counter_name,code_item,magazijn,winkel,total,current_inventory,difference,count_date,location,deposit_id,rack_id,boxqty,boxunitqty,boxunittotal,remarks
VICTORIA,3505,0,0,60,0,0,28-01-26,,2,42,3,20,60,VICTORIA D2
VICTORIA,3508,0,0,60,0,0,28-01-26,,2,42,3,20,60,VICTORIA D2
VICTORIA,3493,17,0,37,0,0,28-01-26,,2,42,1,20,20,VICTORIA D2
VICTORIA,3504,0,0,20,0,0,28-01-26,,2,42,1,20,20,VICTORIA D2
VICTORIA,3502,0,0,50,0,0,28-01-26,,2,42,1,50,50,VICTORIA D2
VICTORIA,3503,43,0,43,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,3506,0,0,100,0,0,28-01-26,,2,42,2,50,100,VICTORIA D2
VICTORIA,3507,0,0,50,0,0,28-01-26,,2,42,1,50,50,VICTORIA D2
VICTORIA,3501,0,0,50,0,0,28-01-26,,2,42,1,50,50,VICTORIA D2
VICTORIA,3495,47,0,47,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,3496,0,0,75,0,0,28-01-26,,2,42,1,75,75,VICTORIA D2
VICTORIA,1510,2,0,2,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,3487,47,0,147,0,0,28-01-26,,2,42,2,50,100,VICTORIA D2 ***
VICTORIA,3487,0,0,350,0,0,28-01-26,,2,42,7,50,350,VICTORIA D2 ***
VICTORIA,3492,12,0,12,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,0511,23,0,23,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,7043,95,0,95,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,7018,1,0,73,0,0,28-01-2026,,2,25,12,6,72,VICTORIA D2 ***
VICTORIA,1959,8,0,8,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,1968,7,0,7,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,1969,2,0,2,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,1970,5,0,5,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,1971,3,0,3,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,1972,3,0,3,0,0,28-01-2026,,2,25,0,1,0,VICTORIA D2
VICTORIA,7000,0,0,138,0,0,28-01-2026,,2,26,46,3,138,VICTORIA D2 ***
VICTORIA,7001,2,0,77,0,0,28-01-2026,,2,26,25,3,75,VICTORIA D2 ***
VICTORIA,7004,1,0,22,0,0,28-01-2026,,2,26,7,3,21,VICTORIA D2
VICTORIA,7063,3,0,111,0,0,28-01-2026,,2,26,9,12,108,VICTORIA D2
VICTORIA,7062,7,0,79,0,0,28-01-2026,,2,26,6,12,72,VICTORIA D2
VICTORIA,7022,1,0,19,0,0,28-01-2026,,2,26,6,3,18,VICTORIA D2
VICTORIA,7003,1,0,4,0,0,28-01-2026,,2,26,1,3,3,VICTORIA D2
VICTORIA,7023,3,0,15,0,0,29-01-2026,,2,26,3,4,12,VICTORIA D2
VICTORIA,7024,1,0,25,0,0,29-01-2026,,2,26,6,4,24,VICTORIA D2
VICTORIA,7025,0,0,16,0,0,29-01-2026,,2,26,4,4,16,VICTORIA D2
VICTORIA,7026,3,0,31,0,0,29-01-2026,,2,26,7,4,28,VICTORIA D2
VICTORIA,7027,0,0,20,0,0,29-01-2026,,2,26,5,4,20,VICTORIA D2 ***
VICTORIA,7027,0,0,40,0,0,29-01-2026,,2,26,10,4,40,VICTORIA D2 ***
VICTORIA,7028,0,0,148,0,0,29-01-2026,,2,26,37,4,148,VICTORIA D2 ***
VICTORIA,7009,7,0,7,0,0,29-01-2026,,2,26,2,12,,VICTORIA D2
VICTORIA,7007,16,0,16,0,0,29-01-2026,,2,26,0,1,0,VICTORIA D2
VICTORIA,7008,45,0,45,0,0,29-01-2026,,2,26,0,1,0,VICTORIA D2
VICTORIA,7154,40,0,40,0,0,28-01-2026,,2,28,0,1,0,VICTORIA D2
VICTORIA,7155,15,0,15,0,0,28-01-2026,,2,28,0,1,0,VICTORIA D2
VICTORIA,7156,8,0,8,0,0,28-01-2026,,2,28,0,1,0,VICTORIA D2
VICTORIA,7010,324,0,324,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7013,185,0,185,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7011,108,0,108,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7014,49,0,49,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7015,50,0,50,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7016,127,0,127,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7017,600,0,600,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7019,1032,0,1032,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7020,11,0,11,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7021,63,0,63,0,0,28-01-26,,2,29,0,1,0,VICTORIA D2
VICTORIA,7007,5,0,5,0,0,28-01-26,,2,30,0,1,0,VICTORIA D2
VICTORIA,7182,15,0,15,0,0,28-01-26,,2,30,0,1,0,VICTORIA D2
VICTORIA,7183,16,0,16,0,0,28-01-26,,2,30,0,1,0,VICTORIA D2
VICTORIA,7005,38,0,388,0,0,28-01-26,,2,30,7,50,350,VICTORIA D2
VICTORIA,7030,5,0,65,0,0,28-01-26,,2,30,2,30,60,VICTORIA D2
VICTORIA,7032,7,0,37,0,0,28-01-26,,2,30,1,30,30,VICTORIA D2
VICTORIA,7033,2,0,32,0,0,28-01-26,,2,30,1,30,30,VICTORIA D2
VICTORIA,7034,4,0,64,0,0,28-01-26,,2,30,2,30,60,VICTORIA D2
VICTORIA,7035,5,0,65,0,0,28-01-26,,2,30,2,30,60,VICTORIA D2
VICTORIA,1940,4,0,4,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1939,4,0,4,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
