counter_name,deposit_id,rack_id,count_date,codeitem,Referencia,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total
VICTORIA,1,1,26-01-2026,3319,PICKENS RFTL 100W 6500K UFO   ,16,1,16,3,0,19
VICTORIA,1,1,26-01-2026,0201,KABEL YMvK 3G2.5mm rol/100mtr ,0,0,0,0,0,0
VICTORIA,1,17,23-01-2026,4001,TWO POLE SWITCH 21021         ,32,1,32,0,0,32
VICTORIA,1,17,23-01-2026,4000,SINGEL POLE SWITCH 21011      ,18,1,18,0,0,18
VICTORIA,1,17,23-01-2026,4002,TWO CIRCUITS SWITCH 21061     ,17,1,17,0,0,17
VICTORIA,1,17,23-01-2026,4250,VLAKHOEK 180X50MM  10293  RBR ,2,1,2,0,0,2
VICTORIA,1,17,23-01-2026,4017,ROCKER FOR SWITCHES 70601     ,8,100,800,0,0,800
VICTORIA,1,17,23-01-2026,4018,DOUBLE ROCKERS 70611          ,2,100,200,0,0,200
VICTORIA,1,17,23-01-2026,4003,THREE CIRCUITS SWITCH 21088   ,5,1,5,0,0,5
VICTORIA,1,17,23-01-2026,4019,TRIPLE ROCKERS 70661          ,16,1,16,0,0,16
VICTORIA,1,17,23-01-2026,4005,DOUBLE TWO WAY SWITCH 21101   ,11,1,11,0,0,11
VICTORIA,1,17,23-01-2026,4058,COVER PLATE DBL USB CHAR 70673,20,1,20,0,0,20
VICTORIA,1,17,23-01-2026,3998,ELECTRONIC DIMMER 150W 21215-1,5,1,5,0,0,5
VICTORIA,1,17,23-01-2026,4013,RJ 45 CAT6 UTP CONNECTOR 21978,1,1,1,2,0,3
VICTORIA,1,17,23-01-2026,4037,COVER PLATE MOTION  70401 TBR ,22,1,22,0,0,22
VICTORIA,1,17,23-01-2026,4030, SURFACE MOUNTING BOX 10975   ,8,1,8,0,0,8
VICTORIA,1,20,23-01-2026,4023, COV PL  EARTH SOCK USA 70843 ,25,1,25,0,0,25
VICTORIA,1,20,23-01-2026,4028,BLIND COVER PLATE 70677       ,40,1,40,0,0,40
VICTORIA,1,20,23-01-2026,4009,EARTH SOCKET ( USA TYPE) 21143,12,1,12,0,0,12
VICTORIA,1,20,23-01-2026,4021,COVER PLATE  DIMMER 70721     ,19,1,19,0,0,19
VICTORIA,1,20,23-01-2026,4020,COV PLATE  PULL CORD 70741    ,11,1,11,0,0,11
VICTORIA,1,20,23-01-2026,4012,RJ 45 CAT 5 E UTP SOCKET 21453,10,1,10,0,0,10
VICTORIA,1,20,23-01-2026,4011,RJ 45 CAT 6 UTP  SOCKET 21455 ,5,1,5,0,0,5
VICTORIA,1,20,23-01-2026,4025,COVER PLATE  SINGLE RJ45 70751,6,1,6,0,0,6
VICTORIA,1,20,23-01-2026,4015,TELEPHONE SOCKET 21252        ,10,1,10,0,0,10
VICTORIA,1,20,23-01-2026,4027,COVER PLATE  TELEPHONE 70712  ,4,1,4,0,0,4
VICTORIA,1,20,23-01-2026,4026,COVER RING WITH DOUBLE 70442  ,65,1,65,0,0,65
VICTORIA,1,20,23-01-2026,4031,SINGLE FRAME 70910            ,2,100,200,0,0,200
VICTORIA,1,20,23-01-2026,4032,DOUBLE HORIZONTAL FRAME 70921 ,13,1,13,0,0,13
VICTORIA,1,20,23-01-2026,4033,TRIPLE HORIZONTAL FRAME 70931 ,36,1,36,0,0,36
VICTORIA,1,20,23-01-2026,4034,4- GANG HORIZONTAL FRAME 70941,79,1,79,0,0,79
VICTORIA,1,20,23-01-2026,4011,RJ 45 CAT 6 UTP  SOCKET 21455 ,2,100,200,0,0,200
