code_item,description_item,total
0600,PASMOER 16A,1585
0601,PASMOER 20A,31
0602,PASMOER 25A,547
0603,PASMOER 35A,15
0604,PASMOER 50A,26
0605,PASMOER 63A,1
0610,ZEKERING 16A,545
0611,ZEKERING 20A,1311
0612,ZEKERING 25A,529
0613,ZEKERING 35A,899
0614,ZEKERING 50A,997
0615,ZEKERING 63A,1348
0620,KOP K2,303
0621,KOP K3,176
0624,KSV PATRONEN   25A NH 00,53
0625,KSV PATRONEN   35A NH 00,127
0626,KSV PATRONEN   50A NH 00,1
0627,KSV PATRONEN   63A NH 00,15
0628,KSV PATRONEN   80A NH 00,84
0630,KSV PATRONEN 125A NH 00,54
0631,KSV PATRONEN 160A NH 00,17
0635,KSV PATRONEN  63A NH 1,98
0636,KSV PATRONEN  80A NH 1,52
0637,KSV PATRONEN 100A NH 1,110
0638,KSV PATRONEN 125A NH 1,67
0639,KSV PATRONEN 160A NH 1,72
0640,KSV PATRONEN 200A NH 1,7
0641,KSV PATRONEN 224A NH 1,62
0643,KSV PATRONEN 315A NH 1,2
0644,KSV PATRONEN 355A NH 1,41
0645,KSV PATRONEN 400A NH 2,7
0646,KSV PATRONEN 630A NH 3,13
0660,JSL STEEKKLEM 2 VOUDIG,143
0663,JSL STEEKKLEM 5 VOUDIG,4
0700,ATT UNIVERSELE LASDOOS 1619,339
0702,ATT MONTAGEDEKSEL 1X WCD 1622,64
0703,ATT MONTAGEDEKSEL 2X WCD 1623,135
0706,ATT EINDOOS 2033,435
0707,ATEMA U 50 INBDOOS 16-19-20MM,313
0708,ATEMA TUIT 2X16/19/20 U 50,579
0709,ATEMA AFDEK PLAAT U 50,186
0715,ATT KABELDOOS IP65M20/M25 2501,61
0815,,804
0990,PICKENS VOLTAGE PROTECT 120V,5
0991,USB VOLTAGE PROTECTOR PICKENS,1
0992,STRAP 2 PORTMOD-5522-5EW DECOR,185
0993,ADAPTOR F SERIE COAX 5552-5EW,86
0995,F-CONNECTOR 2078-T6,51
0996,CUBE TAP 3 OUTLET 1482W,19
