id,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,updated_date,sales_qty,purchasing_qty
2999,0386,TYRAPS BRN 380 X 7.6,0,0,0,58,0,58,300,242,2026-02-17T18:02:59.718311,,
3000,0387,TYRAPS BRN 370 X4.8,48,100,4800,0,0,4800,2600,-2200,2026-02-17T18:02:59.718311,,
3001,0388,TYRAPS  BRN 280 X 4.5,217,100,21700,0,0,21700,11500,-10200,2026-02-17T18:02:59.718311,,
3002,0389,TYRAPS BRN 390 X 4.8,70,100,7000,0,0,7000,12700,5700,2026-02-17T18:02:59.718311,,
3003,0390,MONTAGEBAND 12mm,13,10,130,8,0,138,123,-15,2026-02-17T18:02:59.718311,,
3004,0391,MONTAGEBAND 17mm,12,10,120,4,0,124,124,0,2026-02-17T18:02:59.718311,,
3005,0401,KABEL EINDHULSJES  6 mm,8,100,800,185,0,985,800,-185,2026-02-17T18:02:59.718311,,
3006,0402,KABEL EINDHULSJES 10 mm,3,100,300,0,0,300,485,185,2026-02-17T18:02:59.718311,,
3007,0403,KABEL EINDHULSJES 16 mm,1,100,100,0,0,100,100,0,2026-02-17T18:02:59.718311,,
3008,0404,KABEL EINDHULSJES 25 mm,13,50,650,27,0,677,677,0,2026-02-17T18:02:59.718311,,
3009,0408,KABEL EINDHULS 2x4mm ISOLEERT,800,2,1600,0,0,1600,1600,0,2026-02-17T18:02:59.718311,,
3010,0409,PERSKABELSCHOEN 2.5 mm  M6,20,100,2000,93,0,2093,2092,-1,2026-02-17T18:02:59.718311,,
3011,0411,PERSKABELSCHOEN  6  mm  M6,46,200,4600,29,0,4629,4501,-128,2026-02-17T18:02:59.718311,,
3012,0412,PERSKABELSCHOEN 10  mm  M6,20,100,2000,0,0,2000,2025,25,2026-02-17T18:02:59.718311,,
3013,0413,PERSKABELSCHOEN 16  mm  M8,18,100,1800,63,0,1863,1848,-15,2026-02-17T18:02:59.718311,,
3014,0414,PERSKABELSCHOEN 25  mm  M8,18,50,900,45,0,945,912,-33,2026-02-17T18:02:59.718311,,
3015,0416,PERSKABELSCHOEN 50  mm  M10,11,180,780,2,0,782,775,-7,2026-02-17T18:02:59.718311,,
