code_item,description_item,current_inventory
0349                ,ZADELS 14 mm VERT             ,0
0350                ,ZADELS 15 mm VERT             ,0
0351                ,ZADELS 15-16 mm VERT          ,0
0352                ,BC  ZADEL  2.5mm ZINC         ,0
0353                ,ZADELS ROOD 25mm (1duim)      ,0
0354                ,ZADELS ROOD 38mm (1½duim)     ,0
0355                ,ZADELS ROOD 50mm (2 duim)     ,0
0360                ,CABLE CLIPS  5-7mm            ,0
0361                ,CABLE CLIPS   4  mm           ,0
0362                ,CABLE CLIPS   5  mm           ,0
0363                ,CABLE CLIPS   6  mm           ,0
0364                ,CABLE CLIPS   7  mm           ,0
0365                ,CABLE CLIPS   8  mm           ,0
0366                ,CABLE CLIPS   9  mm           ,0
0367                ,CABLE CLIPS  10  mm           ,0
0368                ,CABLE CLIPS  11  mm           ,0
0369                ,CABLE CLIPS  12  mm           ,0
0370                ,CABLE CLIPS  16  mm           ,0
0371                ,CABLE CLIPS  19  mm           ,0
0372                ,CABLE CLIPS  20  mm           ,0
0373                ,CABLE CLIPS   11 - 15  mm     ,0
0374                ,CABLE CLIPS   16 - 19  mm     ,0
0379                ,TYRAPS BRN 190 X4.8           ,0
0380                ,TYRAPS  95x2.5                ,0
0381                ,*TYRAPS  140x3.5              ,0
0382                ,TYRAPS BRN 200 X 2.5          ,0
0383                ,TYRAPS  BRN 250 X 4.8         ,0
0384                ,TYRAPS BRN 300 X 3.6          ,0
0385                ,TYRAPS  BRN 250 X 7.6         ,0
0386                ,TYRAPS BRN 380 X 7.6          ,0
0387                ,TYRAPS BRN 370 X4.8           ,0
0388                ,TYRAPS  BRN 280 X 4.5         ,0
0389                ,TYRAPS BRN 390 X 4.8          ,0
0390                ,MONTAGEBAND 12mm              ,0
0391                ,MONTAGEBAND 17mm              ,0
0392                ,MONTAGEBAND 12mm GEISOL       ,0
0397                ,KABEL EINDHULS 4mm ISOLEERT   ,0
0398                ,KABEL EINDHULS 6mm ISOLEERT   ,0
0399                ,KABEL EINDHULS 10mm ISOLEERT  ,0
0400                ,KABEL EINDHULS 16mm ISOLEERT  ,0
0401                ,KABEL EINDHULSJES  6 mm       ,0
0402                ,KABEL EINDHULSJES 10 mm       ,0
0403                ,KABEL EINDHULSJES 16 mm       ,0
0404                ,KABEL EINDHULSJES 25 mm       ,0
0405                ,KABEL EINDHULS 2x6mm ISOLEERT ,0
0406                ,KABEL EINDHULS 2x10mm ISOLEERT,0
0407                ,KABEL EINDHULS 2x16mm ISOLEERT,0
0408                ,KABEL EINDHULS 2x4mm ISOLEERT ,0
0409                ,PERSKABELSCHOEN 2.5 mm  M6    ,0
0410                ,PERSKABELSCHOEN  4  mm  M5    ,0
0411                ,PERSKABELSCHOEN  6  mm  M6    ,0
0412                ,PERSKABELSCHOEN 10  mm  M6    ,0
0413                ,PERSKABELSCHOEN 16  mm  M8    ,0
0414                ,PERSKABELSCHOEN 25  mm  M8    ,0
0415                ,PERSKABELSCHOEN 35  mm  M8    ,0
0416                ,PERSKABELSCHOEN 50  mm  M10   ,0
0417                ,PERSKABELSCHOEN 70  mm  M10   ,0
0418                ,PERSKABELSCHOEN 95  mm  M12   ,0
0419                ,PERSKABELSCHOEN 120 mm  M12   ,0
0420                ,PERSKABELSCHOEN  70  mm  M8   ,0
0421                ,PERSKABELSCHOEN  240 mm M12   ,0
0422                ,PERSKABELSCHOEN 240MM12 /23.1D,0
0423                ,PERSKABELSCHOEN 185MM  M12    ,0
0424                ,VERBINDINGSBUS  2.5 mm        ,0
0425                ,VERBINDINGSBUS  4 mm          ,0
0426                ,VERBINDINGSBUS  6 mm          ,0
0427                ,VERBINDINGSBUS 10 mm          ,0
0428                ,VERBINDINGSBUS 16 mm          ,0
0429                ,VERBINDINGSBUS 25 mm          ,0
0430                ,VERBINDINGSBUS 35 mm          ,0
0431                ,VERBINDINGSBUS 50 mm          ,0
0432                ,VERBINDINGSBUS 70 mm          ,0
0433                ,VERBINDINGSBUS 95 mm          ,0
04331               ,VERBINDINGSBUS 120 mm         ,0
04332               ,VERBINDINGSBUS 240 mm         ,0
0434                ,PERSKABELSCHOEN  6  mm  M8    ,0
0435                ,PERSKABELSCHOEN  10  mm  M8   ,0
0436                ,PERSKABELSCHOEN  10  mm  M10  ,0
0437                ,PERSKABELSCHOEN  16  mm  M6   ,0
0438                ,PERSKABELSCHOEN  16  mm  M10  ,0
0439                ,PERSKABELSCHOEN  25  mm  M6   ,0
0440                ,PERSKABELSCHOEN  25  mm  M10  ,0
0441                ,PERSKABELSCHOEN  25  mm  M12  ,0
0442                ,PERSKABELSCHOEN  35  mm  M10  ,0
0443                ,PERSKABELSCHOEN  35  mm  M12  ,0
0444                ,PERSKABELSCHOEN  50  mm  M12  ,0
0445                ,PERSKABELSCHOEN  70  mm  M12  ,0
0446                ,PERSKABELSCHOEN  95  mm  M10  ,0
0447                ,PERSKABELSCHOEN  120  mm  M10 ,0
0448                ,INSULATED FORK TERM AU-2.5/4  ,0
0449                ,PERSKABELSCHOEN 50mm  M14     ,0
0451                ,PERSKABELSCHOEN  50  mm  M8   ,0
0452                ,PERSKABELSCHOEN  95  mm  M8   ,0
0453                ,PERSKABELSCHOEN  70  mm  M14  ,0
0454                ,PERSKABELSCHOEN  95  mm  M14  ,0
0455                ,RAYTECH GIETMOF 95MM(A310)    ,0
0456                ,A310 BARNICOL GIETMOF CPL     ,0
0457                ,A150 BARNICOL GIETMOF CPL     ,0
0458                ,A210 BARNICOL GIETMOF CPL     ,0
